water,pv,npv,soil,snow+ice,Metric Weight,Probability
0,0,0,0,0,0,0
0,0,0,0,1,1,0.078740157
0,0,0,1,0,1,0.078740157
0,0,0,1,1,1,0.078740157
0,0,1,0,0,1,0.078740157
0,0,1,0,1,0.1,0.007874016
0,0,1,1,0,1,0.078740157
0,0,1,1,1,0.5,0.039370079
0,1,0,0,0,1,0.078740157
0,1,0,0,1,1,0.078740157
0,1,0,1,0,1,0.078740157
0,1,0,1,1,0.5,0.039370079
0,1,1,0,0,1,0.078740157
0,1,1,0,1,0.1,0.007874016
0,1,1,1,0,0.5,0.039370079
0,1,1,1,1,0,0
1,0,0,0,0,1,0.078740157
1,0,0,0,1,1,0.078740157
1,0,0,1,0,0,0
1,0,0,1,1,0,0
1,0,1,0,0,0,0
1,0,1,0,1,0,0
1,0,1,1,0,0,0
1,0,1,1,1,0,0
1,1,0,0,0,0,0
1,1,0,0,1,0,0
1,1,0,1,0,0,0
1,1,0,1,1,0,0
1,1,1,0,0,0,0
1,1,1,0,1,0,0
1,1,1,1,0,0,0
1,1,1,1,1,0,0
