water,pv,npv,soil,snow+ice,weight,justification
0,0,0,0,0,0,"No cover present — not a valid mixture target."
0,0,0,0,1,10,"Snow/ice alone — common."
0,0,0,1,0,10,"Soil alone — common."
0,0,0,1,1,10,"Soil + snow/ice — common (partial snow over bare ground)."
0,0,1,0,0,10,"NPV alone — common."
0,0,1,0,1,1,"NPV + snow/ice — rare (dry vegetation seldom co-occurs with snow)."
0,0,1,1,0,10,"NPV + soil — common."
0,0,1,1,1,5,"NPV + soil + snow/ice — uncommon 3-way."
0,1,0,0,0,10,"PV alone — common."
0,1,0,0,1,10,"PV + snow/ice — common (vegetation with partial snow)."
0,1,0,1,0,10,"PV + soil — common."
0,1,0,1,1,5,"PV + soil + snow/ice — uncommon 3-way."
0,1,1,0,0,10,"PV + NPV — common (green + senescent vegetation)."
0,1,1,0,1,1,"PV + NPV + snow/ice — rare."
0,1,1,1,0,5,"PV + NPV + soil — 3-way terrestrial, less common than pairwise."
0,1,1,1,1,0,"PV + NPV + soil + snow/ice — 4-way not observed at 60 m."
1,0,0,0,0,10,"Water alone — common."
1,0,0,0,1,10,"Water + snow/ice — common (the only allowed water co-occurrence)."
1,0,0,1,0,0,"Water + soil — open water does not sub-pixel-mix linearly with soil."
1,0,0,1,1,0,"Water + soil + snow/ice — contains forbidden water+soil."
1,0,1,0,0,0,"Water + NPV — open water does not sub-pixel-mix linearly with vegetation."
1,0,1,0,1,0,"Water + NPV + snow/ice — contains forbidden water+NPV."
1,0,1,1,0,0,"Water + NPV + soil — contains forbidden water+land."
1,0,1,1,1,0,"Water + NPV + soil + snow/ice — contains forbidden water+land."
1,1,0,0,0,0,"Water + PV — open water does not sub-pixel-mix linearly with vegetation."
1,1,0,0,1,0,"Water + PV + snow/ice — contains forbidden water+PV."
1,1,0,1,0,0,"Water + PV + soil — contains forbidden water+land."
1,1,0,1,1,0,"Water + PV + soil + snow/ice — contains forbidden water+land."
1,1,1,0,0,0,"Water + PV + NPV — contains forbidden water+vegetation."
1,1,1,0,1,0,"Water + PV + NPV + snow/ice — contains forbidden water+vegetation."
1,1,1,1,0,0,"Water + PV + NPV + soil — contains forbidden water+land."
1,1,1,1,1,0,"All classes — contains forbidden combinations."
